"export-world data (NetLogo 6.0.4)"
"terrainGenerator_v1_twoAlgorithms.nlogo"
"06/12/2019 17:22:33:333 +0100"

"RANDOM STATE"
"0 0 -1727483681 523 0.06790088030849609 true -775211117 -882198883 749601846 -445037422 1286323324 -2092306840 -1472972341 -1006615785 -556167223 2042586298 23450983 -648413958 -23630849 915192556 -1622152766 -1738274566 -1286690078 -292587534 1666153226 1663422662 -1043204414 -557916723 -1409547125 -1024740289 1335452302 -1231544599 938021303 -765430603 -229229586 1772177475 -72895729 1936237751 564715021 -2022791336 230174149 547313273 1524466618 -1084023904 2120350365 1455705666 -432645687 36765154 -58897645 1428606737 737992698 -863555573 -1409188641 -1900437709 -1871671611 -598276752 1888695441 -55019225 317959360 464581717 -1574174387 142671028 1667928063 1481279587 -626064414 -1256584471 -1236118015 -113422180 -1146689229 -312920506 -251609240 -47036881 1216117293 -533360257 1855269651 62033281 1184209581 -1215493233 -985149905 1752258028 888667927 428291717 1410509834 470040382 -280044152 -1890456926 1877236214 -569560393 -476479511 -1212459772 -277408037 -687489213 -1964109716 1987945580 461872947 -788016666 -448513508 147201267 26082430 -395680629 827354375 -1353489515 394581099 367313418 697116108 2002736569 1315510288 -918796646 -1711732796 1944569152 2140528949 -983165157 392789080 -976034222 297748853 -1436992549 -1145622022 -1442771886 -713587556 -1213857298 -87308089 616104699 2059336576 -384982533 1257685483 -214845786 -15572131 -235131874 1841174766 1837539354 -359164363 370189094 -864960739 1065439018 2128801448 -895750580 1575400259 -2056463802 1301509648 1338242005 1898782714 -532994269 925039565 -1421055475 573894537 -1299237481 349474219 -139621146 2039302601 766325208 1814898085 -1500220848 475695588 1205274456 452173115 822917737 -1874836489 1282868781 -1165234049 241449697 -1601178283 -1428935052 503140134 -1836538987 -1032408579 726130376 1919153387 386328724 -332165779 -1181479464 -2058161252 -198337827 -923832828 -455875 -1101520072 -1873814057 1456964908 -115075668 428625101 509118200 -1607032048 23833532 -1257997269 542792664 -2010047972 -1455508588 -1994462727 902933928 892119504 862131269 1468811557 -2021163796 453801036 814611858 576377714 -2077615930 2108340984 -2109017705 477401318 -877412545 -342919890 184702420 -1792554087 1233583478 -279304537 -610021558 656573213 -133908760 2130441584 1177321701 1923505783 -501709018 1208643506 474730075 -669838945 -1516671090 -2065119804 529422088 -818420909 -1167559454 332919273 -1879172269 606316794 732253477 416352369 -1349012959 440529189 -1550001333 -1386118255 -896685205 -1305758121 -522342824 -2070431583 1961588378 258058943 -1303806777 -2114414721 -469124702 -1068814389 2007913715 -444129337 590829857 -568134314 791263783 1843867830 -1832341050 -442907068 222606561 -1003671990 -1064621350 -424632458 -767962539 -1260922225 245602379 -1970995916 2023713514 -728260109 1666189515 -992611468 -764965664 -1915260724 1069448837 -1882253380 -1523400091 1776874749 315103639 1848332205 168299179 -1337494240 -2038030236 2104128058 -1015350592 1555846314 -1941516049 -834284792 602620874 1704080588 -1915432330 -1245422373 -1216293745 479738423 -530400059 1513160800 -776247813 1594392989 179745634 1565216783 -1923342823 -572823506 -1502219221 1858067308 766260086 1686436838 -1152568290 -1644003587 718408359 1098624307 1998959021 682679920 -344012767 -523992862 87342884 1345019554 126837876 301693685 -583501522 2145636401 2026128975 -2098615507 -1987276307 463852083 -314049586 -84964054 791268738 186961352 1061599805 1107702761 -352239201 1259729602 337873268 1801219227 324220044 118676692 614577697 1997554503 1969803904 -1880857409 -208292984 -1409908241 890364717 -910857091 -250586121 -1094354995 -266779916 -611822965 1532026112 85254522 996376700 513648865 -854018403 -1054087383 230306828 400028536 347615912 1711636194 -1926107829 -2133040186 1735932041 -1249457540 -353008987 231739835 -98824924 -985617073 -1847538563 1508566973 1867626945 243999576 1520244014 30376116 -1245899404 -1458241336 -2100401251 -1989736622 781637557 1909510375 -389668617 -733640812 2121934753 -98569464 1050312281 -834063331 1515640594 -694865147 -652039072 1076360315 -1743104032 -639173598 930659401 -1677602422 -1094993680 -1462400952 801271827 1567397555 336679985 1445310417 686861374 537814575 -227790767 -1517323755 1814342304 -1218296809 -623876061 -1791162872 1204522320 -942527111 1947740987 2114433475 -1204289883 -264941655 1212300360 1508979857 1531346409 -1396039805 764301825 -430241286 -84519601 1001229923 1839189898 1391370250 -1396106128 697973938 1557686785 127500518 1865545684 -834333781 762506067 2039683507 -1335734827 -1610376018 1899020582 146448179 1998644225 200247722 -1023500237 -1047875793 1014086381 1355494717 355976197 1942150916 1945120511 -492447924 -1178180292 124767251 1652894197 -564637619 780148112 -740251901 754255091 250215878 -2026388689 291183995 2029360377 1533942686 -1327715286 -408779232 -95249508 1544314177 566834397 1299216454 1135596411 572207775 -1249833627 -836342842 -304100375 -375922249 279976783 -1419273624 -272377104 -436429675 -849548601 -238775838 969925126 787280152 -1119212003 12926305 219876360 -1471824629 -1909810651 1044729015 -1170783286 -1366704339 -46854070 1514761095 837394097 -693383303 539054410 -532256495 490397934 -152833613 1513348844 1649042176 -1516976924 -416584685 -90690275 1772473524 2018509928 -70741051 -1985099604 7106493 37486658 -581979067 72471104 -835162405 483939242 -947085721 -1667930349 1088983979 -2067752334 506419175 1664502422 1391442688 887328782 -1335886150 1969899672 -430066083 1265012591 -59041059 607601709 -524086279 1584750592 229496580 -1340269530 -1506098275 -817285257 -1788475092 -1612714322 -1440541402 -795839475 -975035601 -1499684929 148083725 -66703544 -86558627 397387461 1626683345 1260489444 -1069244380 504258076 -958452110 1186557646 1804908598 -1204132924 -856961841 -924096377 -553916883 -1990112651 -1106092082 -451273572 -656213215 -523082616 -1164827739 1532745474 277652490 -2119150811 -834045584 1231866782 -201410781 -595569442 896550862 2028232113 -558889246 -1853796261 379980398 598896054 1384116657 168296262 1120259457 -1752358806 -1503946244 1665662930 -604465272 -1055240389 -1900157391 -425478271 -1593692127 -1497416016 367112413 -964035238 -265427547 1795027914 -1914037378 61564329 1226933948 -1857693586 -1934239146 1042816054 30383897 1958995610 1460318175 -483991072 -905011021 -394902247 -362363194 1263345122 1406869124 1884963025 2095181794 -2096222236 1521565236 2089557076 -740031820 1189573666 842109281 1854177220 1120407583 -370189190 1534486760 -1834309376 631792698 817433791 -621086841 -452144027 -855994414 -1520274625 -120151347 -1379477185 1814200724 -200336397 -192271836 2011183663 -1228528107 -722361990 -259794926 1360024866 -471549726 -1855557962 344066123 1526491229 914184710 502761230 156804649 69599780 1808502112 -732132478 988591827 -603668748 -733797816 1192811479 1894795683 489108629"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","algorithm-style","continentality","elevationdistribution","elevationnoise","elevationsmoothstep","featureanglerange","landoceanratio","maxdist","maxelevation","minelevation","numcontinents","numoceans","numranges","numrifts","par_continentality","par_elevationnoise","par_elevationsmoothstep","par_featureanglerange","par_numcontinents","par_numoceans","par_numranges","par_numrifts","par_rangeaggregation","par_rangeelevation","par_rangelength","par_riftaggregation","par_riftelevation","par_riftlength","par_sealevel","par_smoothingneighborhood","randomseed","rangeaggregation","rangeelevation","rangelength","riftaggregation","riftelevation","riftlength","sdelevation","sealevel","show-transects","smoothingneighborhood","type-of-experiment","xtransect","ytransect"
